status,fine,date,violation_no
N,6532,2017-07-12,stljvm
Y,7854,1975-07-30,kwubwo
N,843,2005-10-16,ldctjm
Y,9473,2022-02-24,ruzryj
Y,1281,1980-01-14,fadfwa
N,5059,2015-11-06,sdzkav
N,8537,2004-01-15,ixjirf
N,7106,1974-01-17,wnparh
Y,4414,2009-12-11,hcikun
N,9339,1996-06-01,kxhdit
Y,9921,1986-09-26,nhnbwd
Y,6417,2006-09-03,ftlzyi
N,2837,2013-01-19,jkelda
N,1464,1997-03-14,vdsjwm
N,7168,2005-07-04,ylwmck
Y,2003,2009-08-06,oltksr
Y,193,1986-10-28,emfrua
Y,4407,2005-01-18,ihwcao
Y,3863,1996-09-27,ihsece
Y,8856,2019-12-31,mozddn
N,8617,1990-01-31,puskkj
Y,2281,1988-05-22,olvkks
Y,8765,1996-02-03,fignue
N,8195,1996-03-21,wistbg
N,8621,1975-08-18,ayahth
Y,818,2021-12-17,ndtwsb
Y,4215,2019-06-18,xhtjzo
Y,3815,1998-08-08,yglppg
Y,8617,1993-08-14,mmdyfh
Y,495,1992-05-15,bsrlqb
Y,5119,1988-07-18,ndwvho
Y,5005,2022-01-11,tnnhje
Y,4223,2007-05-27,bdfjkp
N,8626,2012-07-02,kpctvi
Y,8433,1977-08-28,cmtpgz
Y,4458,1976-09-07,fnizkl
Y,146,1999-03-29,cgeofy
Y,9041,1987-11-06,zpazjy
Y,4275,1983-01-02,fazovr
Y,8275,2009-04-14,ychmdw
N,6293,1972-08-20,xqdsow
N,9404,1989-06-04,plmrqn
Y,8754,2011-12-30,mbjytn
Y,4133,1981-05-10,bmvhqf
Y,4479,1984-03-26,vznnfq
N,6879,2012-09-03,wpzngb
N,6058,1989-06-27,wnhsuw
Y,2641,2024-06-22,vtijlj
Y,7032,1974-02-23,tapeqk
Y,9696,1975-03-25,bpzkjz
