status,fine,violate_year,violate_month,violate_date,violation_no,violation_type
Y,8944,2023,7,9,qgohjg,1004
N,3050,2014,9,17,uvuexy,1005
N,5171,2024,10,25,wfpknk,1004
Y,9830,1977,11,16,rzeryd,1003
N,8479,1990,3,7,uccbyr,1003
N,9766,1979,7,13,swabpt,1001
Y,1370,1998,1,26,qcxgvk,1003
N,1910,2003,2,15,qwmryy,1001
Y,6836,1972,3,7,fqgkww,1004
N,7437,2024,1,2,dshywq,1005
N,3727,2024,10,5,gdjarc,1002
N,3122,1999,11,14,uvcdbu,1002
N,1838,1989,2,27,uniybb,1001
Y,1046,1994,11,23,bzvcsm,1001
Y,3191,2006,11,19,jljbyx,1005
N,3862,2003,1,28,cjxbte,1002
N,3453,1999,10,28,zjukwo,1003
N,6982,1976,10,3,dbijkb,1005
N,492,2018,10,22,svnvpc,1003
Y,9109,1977,4,24,nhgduy,1005
N,1011,2025,12,16,mwvfbr,1005
N,8748,1985,10,15,sizpiw,1002
Y,7291,1980,4,6,krbzpf,1004
N,4822,2022,2,8,wdjebo,1001
Y,4784,1992,11,21,grgsel,1003
N,1470,2014,11,26,kuaplr,1002
Y,5511,2025,5,26,qmbkcq,1003
N,5878,1983,3,19,xpfztw,1004
N,5487,1983,8,1,pejfda,1001
N,8190,1981,8,22,mrigrb,1004
N,1441,1989,2,4,cdhgex,1001
Y,1364,1978,11,14,gahtfw,1003
Y,1096,2001,10,5,hftenn,1003
N,8270,2011,3,7,bdvkih,1004
N,9440,2005,11,27,zixwhn,1005
N,456,1980,5,1,gfcbtq,1001
Y,640,2003,1,6,xvgcsd,1004
N,3426,1998,11,12,zecwjw,1003
N,116,2008,11,2,xswcyo,1004
N,3351,1981,4,7,wlkmms,1001
N,7831,2009,12,25,iocuih,1001
Y,5964,2005,8,10,psrzrl,1003
N,3038,1996,9,26,jkpluw,1003
Y,9284,1997,12,7,iwovod,1004
N,172,2017,8,8,gwfvzg,1001
Y,2754,2017,12,1,bcrkuw,1003
N,2215,2017,11,1,iuyece,1003
N,7270,2011,9,19,qwabrg,1003
N,3272,2014,9,20,vesjko,1005
N,9490,1981,1,2,cwskyg,1003
